gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene9254,419.662333,1.430346448,0.799732002,0.000216288,0.001365522
gene6075,190.9164129,1.42063783,0.383277633,3.27E-07,7.07E-06
gene11130,194.1261732,1.417773105,0.715027036,0.000124257,0.000883632
gene5138,83.82004262,1.41387194,1.322989087,0.001028366,0.004744251
gene9621,130.0756599,1.405634939,1.004270066,0.000592092,0.003056757
gene12032,102.588904,1.404685003,1.198866888,0.000918378,0.004326118
gene4965,118.959463,1.399304819,0.712269299,0.000131154,0.000920405
gene4773,3876.295697,1.396076857,0.450760974,3.08E-06,4.41E-05
gene5094,18325.2258,1.378377405,0.522158674,1.50E-05,0.000157358
gene225,878.8541222,1.363163891,0.665640783,0.000101854,0.000752222
gene8240,19.97394229,1.360659012,1.261608495,0.001112755,0.005020288
gene12461,600.8345504,1.346165257,0.991418118,0.000690905,0.003467811
gene1620,2374.446771,1.341567368,0.333201162,6.38E-08,1.78E-06
gene1599,74.86897604,1.31399442,1.208143513,0.001188678,0.005288037
gene8588,523.950142,1.310884382,0.729715224,0.000219887,0.0013861
gene11899,12176.72923,1.297723615,0.193515796,1.76E-14,4.50E-12
gene2154,33.27115737,1.296648821,0.943835576,0.000700916,0.003506581
gene1157,727.8196346,1.288639742,1.106184534,0.001098304,0.004975221
gene7748,14293.62211,1.275426021,0.427001637,3.75E-06,5.19E-05
gene7736,25.33546041,1.266701185,1.323209753,0.001462647,0.006247214
gene12193,393.7207405,1.249017229,0.527783733,3.52E-05,0.000316449
gene7682,329.5522412,1.24264421,0.591114236,8.60E-05,0.000651245
gene12126,31.86234505,1.231808296,1.169110977,0.001427331,0.006122052
gene2608,94.31182392,1.228398517,0.279531067,7.47E-09,3.04E-07
gene706,95.13097557,1.227139445,0.953438612,0.000929485,0.004361897
gene5349,11693.10292,1.226901753,0.380241297,1.37E-06,2.26E-05
gene5172,158.6915936,1.225684013,0.42291609,5.01E-06,6.49E-05
gene8003,88.38635261,1.218950117,0.974769277,0.00101975,0.004715141
gene3559,23.33105835,1.199855102,0.984132927,0.001119826,0.005048475
gene7643,44.40336772,1.197950701,1.246524894,0.001674063,0.006956549
